country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year,gdp_per_capita,generation
Fiji,1997,male,55-74 years,0,125386,0.34,Netherlands2006,,"726,649,102,998",3761,Silent
United States,1989,female,35-54 years,3809,20719549,10.14,Kyrgyzstan2014,,"7,468,096,567",43344,Boomers
France,2015,male,55-74 years,753,4335802,37.44,Croatia2015,,"49,425,513,611",27300,Silent
Republic of Korea,1986,female,25-34 years,756,3375944,7.18,Republic of Korea2000,,"561,633,125,840",20315,Generation X
Argentina,1988,male,35-54 years,0,278,0.0,Czech Republic2000,,"61,649,492,817",32564,Boomers
Saint Vincent and Grenadines,1987,female,55-74 years,19,11780,0.59,Guatemala1988,,"7,841,602,824",7508,Silent
Colombia,1991,female,25-34 years,572,7930261,12.02,Uruguay2009,0.676,"13,855,888,000,000",7254,Generation X
Italy,2009,female,75+ years,51,278,8.86,Israel2011,0.668,"4,833,712,542,207",8740,Silent
Chile,2008,female,15-24 years,90,972822,0.07,Bulgaria1985,0.77,"17,155,421,053",109391,Millenials
Australia,1991,female,35-54 years,287,432138,3.66,Australia1998,,"398,899,138,574",4618,Boomers
Poland,1996,male,35-54 years,901,8379928,5.38,Russian Federation1994,0.814,"395,077,301,248",44752,Generation X
France,1985,female,5-14 years,8,912656,0.79,Georgia2015,,"13,993,546,732",8568,Generation Z
Qatar,2001,male,75+ years,2,25688,55.77,Romania2007,,"175,933,642,292",13009,G.I. Generation
Armenia,2014,female,5-14 years,2,3707627,0.0,Portugal2000,,"118,358,489,958",3310,Millenials
Mauritius,2003,female,15-24 years,9,278,12.83,Albania2000,,"3,632,043,908",7429,Silent
Sri Lanka,1997,male,55-74 years,94,1587186,44.49,Finland2006,,"216,552,502,823",17231,Silent
Malta,1986,female,75+ years,0,11236,0.52,Israel2014,,"308,416,982,140",6332,G.I. Generation
El Salvador,1988,female,35-54 years,19,302355,3.11,El Salvador2005,,"14,698,001,400",2923,Boomers
Denmark,1995,male,25-34 years,140,95037,15.99,Cuba2003,0.891,"35,901,200,000",26011,Silent
Thailand,2008,male,35-54 years,108,4970390,2.72,Switzerland2006,,"430,921,192,375",2962,Boomers
Switzerland,2012,female,15-24 years,75,1391073,5.87,Sweden2008,0.834,"420,032,121,656",68991,Millenials
Luxembourg,1997,female,5-14 years,0,278,0.46,Saint Vincent and Grenadines2012,,"692,933,741",5346,Millenials
Albania,2001,female,25-34 years,62,472681,13.61,Costa Rica1999,,"14,195,623,425",39540,Generation X
Jamaica,2010,female,75+ years,7,278,8.51,Mexico2008,0.675,"1,109,989,038,339",1733,G.I. Generation
Argentina,1997,female,5-14 years,19,1482084,0.36,Croatia2015,,"49,425,513,611",25149,Generation X
Bahrain,2004,male,75+ years,14,338312,0.59,United Arab Emirates2009,,"253,547,358,747",21242,Millenials
Austria,2000,female,55-74 years,76,431305,6.63,France1992,,"1,401,465,923,172",16644,Silent
Uruguay,2004,male,15-24 years,52,442813,25.11,Ukraine2003,,"50,132,953,288",48604,Generation X
Italy,1999,male,55-74 years,104,622127,94.56,Romania2008,,"213,605,065,703",12702,Silent
Greece,1986,female,5-14 years,359,2872464,3.84,Greece2003,,"201,924,270,316",7077,Generation X
Germany,1985,male,35-54 years,129,3119914,29.95,Croatia2009,,"62,703,143,057",3468,Boomers
Seychelles,1988,male,15-24 years,0,278,30.78,Paraguay1994,,"7,870,982,171",4644,Generation X
Uruguay,2013,male,25-34 years,218,1663035,12.01,Chile2005,0.854,"122,964,812,046",30316,Generation X
Estonia,1999,male,5-14 years,1,370667,0.08,Denmark1994,,"156,162,311,732",9058,Millenials
Belgium,1987,male,75+ years,27,278,50.74,Luxembourg2010,,"4,306,192,436",5180,G.I. Generation
Kyrgyzstan,1995,female,55-74 years,50,778754,9.38,Jamaica2010,0.678,"13,191,645,686",251,G.I. Generation
Republic of Korea,2000,male,5-14 years,4,2589021,11.56,Latvia2001,,"395,077,301,248",23579,Generation X
El Salvador,1991,male,35-54 years,415,1490323,18.28,Finland1999,,"135,225,868,315",4002,Boomers
South Africa,2004,male,35-54 years,55,341301,81.43,Hungary1995,,"46,418,916,500",3852,Boomers
Bahamas,2001,male,5-14 years,6,156355,0.07,Estonia2015,,"22,566,956,982",25155,Millenials
Sri Lanka,1999,female,35-54 years,17,1054731,5.53,South Africa1998,,"137,774,361,015",27316,Generation X
Denmark,2006,female,15-24 years,775,9931484,11.14,Germany2002,0.859,"2,079,136,081,310",10397,Millenials
Saint Lucia,2012,male,5-14 years,12,278,0.18,Republic of Korea1991,,"325,734,233,313",7153,Generation Z
Uzbekistan,1992,male,75+ years,732,1263679,19.46,Uzbekistan2005,,"14,307,509,839",2132,G.I. Generation
France,2009,female,5-14 years,9,3022509,0.27,Saint Lucia2009,,"1,262,973,407",5930,Millenials
Greece,2000,female,55-74 years,8,717307,0.0,Iceland1996,0.816,"7,330,965,239",22028,Silent
Germany,2002,male,55-74 years,1137,1934906,63.28,Germany1991,,"1,861,873,895,109",21211,Silent
El Salvador,1998,female,5-14 years,62,2063832,0.55,Austria2009,,"13,243,892,200",31689,Generation X
France,2004,female,35-54 years,2228,751256,3.61,Grenada2013,,"842,620,111",6671,Generation X
Belgium,2007,male,25-34 years,1152,593965,12.94,Guatemala1987,,"7,084,399,840",47259,Generation X
Trinidad and Tobago,1998,male,55-74 years,1692,399655,29.7,Costa Rica1996,,"11,618,286,553",33784,Generation X
Ecuador,2010,female,5-14 years,4,641816,0.53,Costa Rica2000,,"14,949,514,585",7276,Millenials
Saint Vincent and Grenadines,2000,male,5-14 years,0,278,0.0,Seychelles1987,0.843,"249,267,040",21704,Boomers
Sweden,2006,male,15-24 years,350,12008036,11.99,Cuba2005,0.9,"42,643,836,075",62260,Millenials
Jamaica,2008,female,5-14 years,0,1333,0.41,Jamaica1990,,"4,592,224,067",6956,Generation X
Australia,1999,female,5-14 years,73,5219992,2.74,Colombia1991,,"41,239,551,378",55036,Generation Z
Spain,2012,female,5-14 years,9,1506401,0.0,Seychelles2012,0.847,"1,059,498,884",18127,Generation Z
El Salvador,1994,female,25-34 years,93,211272,4.27,Estonia1999,,"5,726,897,998",28682,Generation X
Hungary,2008,female,5-14 years,3,253519,1.62,Ireland1995,,"69,222,626,263",42858,Millenials
Ukraine,2014,female,5-14 years,8,3878817,1.66,United Kingdom1995,0.685,"1,552,483,628,029",46895,Generation Z
Kyrgyzstan,2001,male,5-14 years,2,24277,1.89,South Africa1999,0.626,"136,631,966,609",3097,Millenials
Chile,1989,male,75+ years,704,450704,38.56,Bahrain1987,0.767,"3,392,021,011",6386,G.I. Generation
Ireland,2008,female,5-14 years,10,375041,4.19,Malta1994,,"2,998,570,147",4297,Silent
Belize,2010,female,35-54 years,0,376143,8.49,Mauritius2009,,"9,128,843,109",9037,Boomers
Puerto Rico,2008,female,5-14 years,0,474306,3.4,Panama2006,,"18,141,666,300",25545,Generation Z
France,2000,female,25-34 years,89,2626635,5.17,Costa Rica1999,,"14,195,623,425",18340,Generation X
Kiribati,2002,male,75+ years,0,278,0.34,Malta2008,,"8,977,149,553",2013,Generation X
Fiji,2006,male,55-74 years,2666,238069,46.63,Bahrain1988,,"3,702,393,617",6837,Boomers
Hungary,2014,female,35-54 years,15,804005,8.75,Colombia2002,0.753,"97,933,391,976",6778,Silent
France,1998,male,55-74 years,326,673971,69.94,Denmark2002,,"178,635,160,297",27073,Silent
Armenia,2000,female,15-24 years,0,379603,1.41,Armenia1992,0.661,"1,272,577,456",5404,Generation X
Ireland,2011,female,25-34 years,0,79442,0.0,Suriname2014,0.876,"5,240,606,061",23250,Millenials
Italy,2004,male,55-74 years,679,450853,71.07,Israel1996,,"109,957,321,960",16973,Silent
Uruguay,1996,male,25-34 years,1429,1154441,18.55,Bahrain2001,0.594,"8,976,207,713",1147,Boomers
Bahrain,2001,male,15-24 years,0,278841,0.0,Bahrain2002,0.829,"9,632,155,053",8544,Millenials
Israel,2005,female,35-54 years,18,445232,20.11,Israel1985,,"27,493,591,484",47580,Boomers
Guatemala,1988,female,25-34 years,81,3994707,8.01,Republic of Korea2004,,"764,880,644,711",9042,Boomers
Hungary,2002,female,15-24 years,111,724412,1.85,Finland2005,,"204,436,015,421",2664,Generation X
Netherlands,2002,female,25-34 years,183,3911902,5.29,Bulgaria2012,,"53,903,022,339",5011,Boomers
Greece,2010,male,35-54 years,4,278,11.18,Mauritius1999,0.776,"4,291,172,816",10106,Silent
Kuwait,1985,male,25-34 years,13,14241,0.53,Netherlands2006,,"726,649,102,998",3051,Generation X
Portugal,1999,male,15-24 years,112,81663,38.29,Poland2010,,"479,321,460,551",18248,Generation X
United Kingdom,2005,female,35-54 years,809,3212718,1.87,United Kingdom2001,0.903,"1,621,510,004,318",52260,Generation Z
Kuwait,1997,male,5-14 years,20,37032,2.36,Slovenia2015,,"43,072,415,017",13118,Generation X
Portugal,2013,female,75+ years,6,70109,36.01,Panama2005,,"16,374,393,900",16561,Silent
Costa Rica,2014,female,15-24 years,0,434358,0.81,Guatemala2014,0.822,"58,722,323,918",30547,Millenials
Sweden,2015,female,25-34 years,105,878410,14.84,Brazil1988,0.775,"330,397,381,998",9032,Silent
Armenia,2004,male,5-14 years,3,416071,0.33,Bahrain2014,,"33,387,712,766",5689,Generation Z
Spain,1997,female,25-34 years,26,2837851,1.98,Slovenia2015,,"43,072,415,017",3575,Generation X
Ukraine,1999,male,25-34 years,39,1371836,19.34,United Arab Emirates2008,,"315,474,615,739",32846,Generation X
Saint Lucia,2009,male,75+ years,12,11156,58.49,France2008,0.698,"2,918,382,891,460",3829,Silent
Uruguay,1993,male,5-14 years,0,465462,0.16,United States1988,0.668,"5,252,629,000,000",429,Millenials
Republic of Korea,1994,female,25-34 years,11,1504690,3.83,Paraguay2009,,"15,929,902,138",13086,Generation X
Antigua and Barbuda,1993,female,75+ years,6,29685,17.77,France2009,,"2,690,222,283,968",3840,G.I. Generation
Saint Vincent and Grenadines,2009,male,55-74 years,8,115009,0.0,Singapore1997,0.887,"100,163,995,151",25541,Generation Z
Saint Vincent and Grenadines,2010,male,5-14 years,0,357824,0.41,Serbia2004,0.879,"24,861,483,281",5243,Millenials
Antigua and Barbuda,1989,female,25-34 years,20,422545,13.42,Belize1986,,"227,850,000",4993,Generation X
Bulgaria,2001,female,5-14 years,105,189091,2.67,Iceland1999,,"8,917,286,036",7206,Millenials
New Zealand,1986,female,15-24 years,6,1234991,13.97,Norway1986,,"78,693,253,276",20577,Generation X
New Zealand,1998,male,25-34 years,510,421606,23.88,Netherlands1996,,"445,704,575,163",3230,Generation X
Ecuador,1998,female,75+ years,23,28329,0.38,Iceland1990,,"6,372,905,073",3725,Boomers
Luxembourg,2009,male,35-54 years,112,93635,4.21,Saint Lucia2008,0.913,"1,282,215,407",60197,Millenials
Saint Vincent and Grenadines,2010,female,5-14 years,0,278,0.0,Saint Vincent and Grenadines2004,0.727,"521,975,111",6061,Generation X
Finland,2014,male,25-34 years,13,869636,39.22,Czech Republic2001,,"67,523,642,262",28140,Generation X
Spain,2012,male,5-14 years,0,73187,0.0,Portugal1998,0.686,"123,981,736,420",7603,Millenials
Armenia,1998,female,5-14 years,3,473261,13.66,Trinidad and Tobago2006,,"18,369,070,085",17917,Millenials
United States,2007,female,35-54 years,1,428006,2.54,United States2000,,"10,284,779,000,000",41177,Boomers
Trinidad and Tobago,2006,male,75+ years,0,278,0.65,Trinidad and Tobago1999,0.769,"6,808,982,521",6133,Silent
Italy,1985,male,75+ years,201,383703,75.47,Paraguay2014,,"772,106,378,935",5398,Silent
Georgia,2006,female,75+ years,0,278,0.46,Germany1992,,"2,123,130,870,382",6536,Silent
Spain,1985,male,15-24 years,900,743373,11.54,South Africa2008,,"287,099,991,517",5083,Generation X
Georgia,1985,male,75+ years,375,311246,17.65,Georgia1990,,"7,753,501,868",4952,G.I. Generation
Finland,1998,male,25-34 years,94,461597,10.28,Finland2004,,"196,768,065,557",17965,Generation X
Croatia,2002,female,5-14 years,0,187990,0.37,Costa Rica2005,,"19,952,156,475",7784,Generation Z
Republic of Korea,2004,male,35-54 years,731,4518832,40.27,Saint Lucia1988,,"366,541,091",3981,Silent
Poland,2007,female,35-54 years,15,9437624,3.96,Jamaica1990,,"4,592,224,067",5567,Boomers
Canada,2013,male,5-14 years,17,471835,5.48,Austria2000,,"196,799,778,883",14245,Generation Z
Australia,2006,female,75+ years,23,5317376,32.68,South Africa2013,,"366,829,390,479",49084,Silent
Italy,2012,female,25-34 years,14,445362,9.63,Denmark2008,,"353,361,056,080",11891,Silent
Ecuador,2006,female,25-34 years,9,90877,1.83,Ecuador1991,,"16,988,535,268",49610,Generation X
Sweden,2005,male,25-34 years,799,1394759,16.41,Israel1986,,"34,083,532,195",36599,Boomers
Kazakhstan,2003,male,15-24 years,83,1037637,11.7,Latvia2007,,"30,901,399,261",24122,Generation X
Paraguay,1996,female,15-24 years,14,426792,3.09,Kiribati1996,,"66,515,377",5340,Millenials
Saint Lucia,1996,male,5-14 years,0,105991,0.37,Finland2007,,"1,368,400,705,491",5278,Generation Z
Canada,1994,female,25-34 years,74,1948665,6.16,Austria2006,,"335,998,557,270",36709,Boomers
Austria,2011,male,15-24 years,140,47642,28.09,Kazakhstan1999,,"16,870,817,135",22926,Generation X
Germany,1985,female,75+ years,693,3204745,30.54,Belgium1995,,"289,567,323,481",3459,G.I. Generation
United States,2003,female,15-24 years,770,2912177,3.09,Ukraine1991,0.917,"77,464,561,150",46153,Millenials
Colombia,1997,male,15-24 years,22,68586,0.18,Ecuador2009,,"62,519,686,000",3202,G.I. Generation
United States,2015,male,5-14 years,32,4224476,0.49,Fiji2001,0.903,"1,660,102,346",56672,Generation Z
Italy,2001,female,5-14 years,946,4415360,8.48,Ukraine1995,,"48,213,868,178",3884,Millenials
Slovenia,2007,male,25-34 years,85,278,6.68,Saint Lucia2008,,"1,282,215,407",3047,Generation X
Bahrain,2014,male,15-24 years,12,278,34.9,Latvia2009,,"35,596,016,664",14178,Generation X
Japan,2007,male,25-34 years,51,404860,21.22,Japan2007,0.841,"4,515,264,514,431",23451,Generation X
Uzbekistan,2004,female,35-54 years,29,1352289,11.56,Uzbekistan1996,0.905,"13,948,892,216",44131,Boomers
Albania,1985,female,35-54 years,90,342119,4.27,Switzerland2009,,"541,506,500,414",2009,Generation X
Ukraine,2002,female,75+ years,19,718671,2.39,Barbados1993,,"2,046,189,032",1747,Boomers
Costa Rica,1989,female,5-14 years,2,295358,6.86,Switzerland2007,0.853,"479,913,034,322",2109,Generation X
Uruguay,1995,female,25-34 years,72,2637450,18.82,United Kingdom2003,0.632,"2,038,395,102,041",1005,Generation X
Italy,2004,female,55-74 years,92,731482,4.22,Luxembourg1997,,"19,731,912,494",25411,Silent
Estonia,2007,male,25-34 years,10,59171,29.23,Antigua and Barbuda1991,,"2,376,335,048",5108,Boomers
Ecuador,2001,female,25-34 years,4,787934,3.28,Ecuador1990,0.776,"15,239,278,100",10364,Generation X
Mauritius,2009,female,75+ years,90,784720,79.75,Panama1989,0.826,"5,918,469,800",25298,Silent
Norway,2003,male,55-74 years,7155,157193,52.83,Latvia2009,,"26,169,854,045",33391,Silent
Singapore,2014,male,35-54 years,46,1035510,9.24,Grenada1988,0.692,"236,357,519",8578,Boomers
Nicaragua,1988,female,35-54 years,80,1085173,6.78,Switzerland2004,0.687,"394,163,688,621",1934,Generation X
Slovakia,2003,male,15-24 years,0,893590,2.01,Ireland2001,,"109,133,512,304",8785,Millenials
Estonia,2003,female,5-14 years,0,54914,0.49,Czech Republic1992,,"34,590,052,812",9434,Millenials
Australia,1993,female,5-14 years,1,1639000,0.95,Argentina2009,,"332,976,484,578",27493,Generation Z
Bahamas,1987,male,75+ years,0,278,0.24,Armenia2007,,"9,206,301,700",4333,Silent
United States,2007,male,55-74 years,712,3741648,20.09,Puerto Rico2011,,"100,351,670,000",38212,Silent
Singapore,2013,female,15-24 years,1,369327,0.02,Portugal1985,,"27,118,476,174",59782,Millenials
Bahrain,1999,female,35-54 years,0,289654,0.49,Barbados2002,0.847,"3,169,600,000",20611,Boomers
Argentina,1986,female,25-34 years,3,296863,5.85,Turkmenistan2012,,"35,164,210,526",6829,Generation X
Germany,2005,female,35-54 years,23,5207004,0.75,Republic of Korea2007,0.777,"1,122,679,154,632",20297,Millenials
Portugal,2000,male,75+ years,11,7533,9.84,Seychelles2014,,"1,342,997,306",11980,G.I. Generation
Brazil,1986,female,55-74 years,94,1605919,7.71,Ireland1998,,"90,082,034,316",17302,Silent
Uruguay,2002,female,55-74 years,114,1018847,23.15,El Salvador1993,,"6,680,269,200",64453,Silent
Antigua and Barbuda,2004,female,15-24 years,3,136198,0.09,Panama2011,,"34,686,224,300",7275,Millenials
Malta,1985,male,75+ years,27,63898,23.22,Malta2001,,"4,331,870,648",24803,G.I. Generation
Costa Rica,1988,female,75+ years,11,278,1.98,Belize2015,0.703,"1,778,567,600",1329,G.I. Generation
Uruguay,2009,female,55-74 years,4135,109650,5.68,United States2008,,"14,718,582,000,000",6712,G.I. Generation
Norway,1996,female,25-34 years,93,456112,10.25,Canada2010,,"378,195,716,714",24927,Silent
Austria,2011,female,75+ years,0,278,0.55,Latvia2007,0.826,"30,901,399,261",20660,Boomers
United States,2010,male,35-54 years,471,1097168,4.03,Kyrgyzstan2004,0.826,"2,211,535,312",63034,Boomers
Barbados,1990,female,35-54 years,0,278,0.0,Cabo Verde2011,,"1,864,824,081",17193,Boomers
Singapore,1986,male,25-34 years,72,270270,8.44,Grenada2006,,"698,700,667",4407,Generation X
United Arab Emirates,2006,female,5-14 years,8,2133487,0.0,Albania1996,0.719,"3,314,898,292",6515,Generation Z
Paraguay,2004,male,75+ years,301,278,72.01,Cuba2006,,"52,742,800,000",2881,Silent
Japan,2006,male,35-54 years,1765,140318,15.9,Portugal2013,,"226,073,492,966",37700,Boomers
Kuwait,1999,female,5-14 years,4,1008128,0.0,Saint Vincent and Grenadines1990,,"240,365,259",17308,Generation Z
United Arab Emirates,1997,female,75+ years,5,2468,24.04,Guyana2013,,"2,990,006,534",61452,Silent
Georgia,2007,male,55-74 years,101,2235434,22.86,Guyana2005,,"824,880,550",6862,Silent
Argentina,1986,female,5-14 years,1,3361664,0.0,Barbados1986,,"1,556,321,742",13665,Generation X
Italy,1999,male,75+ years,6338,1776488,70.81,Bahamas2009,,"9,981,960,000",17908,Silent
Qatar,2000,female,55-74 years,74,548830,19.98,Puerto Rico2012,,"101,564,800,000",21159,Silent
Paraguay,1994,female,25-34 years,8,351059,3.94,Panama2002,,"12,994,310,400",2119,Millenials
Italy,1992,female,75+ years,16,4052690,1.45,Israel2010,,"233,609,522,091",4583,Silent
Czech Republic,1986,female,75+ years,1336,380070,52.24,Finland1989,,"119,064,708,328",17449,G.I. Generation
Canada,2002,female,55-74 years,1039,1634203,13.2,Canada1996,0.684,"628,546,387,972",29287,Silent
Italy,2007,male,15-24 years,657,8285954,3.4,Philippines1998,,"72,207,028,767",44980,Millenials
Latvia,1987,male,25-34 years,0,84792,0.47,Jamaica1986,0.825,"2,754,566,176",2259,Generation X
Chile,2009,female,75+ years,22,441882,0.4,South Africa1999,0.617,"136,631,966,609",27836,G.I. Generation
Ecuador,1999,male,75+ years,107,1611435,17.81,El Salvador1990,,"4,817,542,204",12686,Silent
Mauritius,2009,female,75+ years,0,30516,1.62,Mauritius2004,0.82,"6,385,695,187",6294,Silent
Japan,1989,female,75+ years,76,159676,25.24,Ireland2012,,"225,571,853,194",21636,Silent
Turkmenistan,1994,female,75+ years,2,340513,3.73,Sweden2007,,"487,816,328,342",5781,Boomers
Paraguay,1993,male,25-34 years,6,1208435,3.82,Poland2012,0.82,"500,360,816,828",5560,Generation X
Portugal,1998,female,75+ years,29,482844,7.77,Jamaica2002,,"9,694,169,757",5606,Silent
Finland,1993,female,25-34 years,28,251036,8.92,Finland2014,,"272,609,288,690",4812,Generation X
Iceland,2003,female,75+ years,11,210333,7.11,Bahrain1987,,"3,392,021,011",4529,G.I. Generation
Mauritius,2008,male,5-14 years,0,121261,0.0,Mauritius1992,,"3,224,267,548",5015,Generation X
Spain,1992,female,75+ years,11,278,0.62,Luxembourg2001,,"21,272,418,792",13396,G.I. Generation
Sweden,2004,male,35-54 years,34,415565,15.76,Cyprus2013,,"24,084,572,491",44788,Boomers
Mexico,2001,male,35-54 years,1088,9242857,26.59,Singapore1995,0.667,"87,890,009,877",2965,Millenials
Grenada,1985,male,5-14 years,0,2293734,0.02,Grenada2011,,"778,648,667",4791,Generation Z
Kuwait,1985,female,75+ years,0,298063,2.67,Israel1999,,"117,189,920,212",34853,Generation X
Lithuania,1999,male,75+ years,10262,263144,83.64,Republic of Korea1987,,"146,133,338,196",3024,Boomers
Suriname,2000,female,35-54 years,7,54659,11.52,Guyana2004,,"785,918,770",7862,Boomers
Suriname,1996,male,25-34 years,11,27013,2.89,Suriname2005,0.888,"1,793,754,805",54561,Generation X
El Salvador,1999,female,35-54 years,22,421616,7.94,Guyana2013,,"2,990,006,534",5657,Boomers
Ukraine,2001,female,5-14 years,103,3221722,2.42,Ukraine2001,,"9,089,168,000,000",1775,Boomers
Sweden,2013,male,25-34 years,98,443621,24.84,Austria2012,,"1,361,854,206,549",37681,Generation X
Costa Rica,1995,male,15-24 years,0,278,0.96,Argentina1988,,"126,206,817,196",1155,Silent
United States,2010,male,55-74 years,812,5023316,12.15,France1991,,"1,269,276,828,276",45956,Boomers
Cyprus,2004,female,15-24 years,22,363291,2.17,Estonia2004,0.839,"12,059,201,242",1789,Generation X
Canada,2007,male,5-14 years,21,1623195,5.14,Bosnia and Herzegovina2014,0.828,"18,558,343,508",2943,Generation X
Austria,2008,female,15-24 years,0,2875792,0.0,Bulgaria1999,0.819,"13,495,075,366",35121,Millenials
Montenegro,1996,female,75+ years,0,85929,0.38,Luxembourg1993,0.677,"16,486,900,187",1724,Silent
Italy,2010,male,35-54 years,908,3481720,14.07,Romania2011,,"184,367,381,749",25459,Boomers
Netherlands,1999,female,25-34 years,0,168433,0.0,South Africa2002,,"115,748,110,113",10397,Millenials
Netherlands,2010,female,35-54 years,58,3526972,2.38,Montenegro2008,0.836,"4,545,674,528",65620,Millenials
Argentina,2014,female,55-74 years,17,1548588,3.76,Aruba2000,,"1,873,452,514",4787,Silent
Puerto Rico,2005,male,75+ years,18,138279,37.8,Romania1998,,"41,976,002,704",63399,G.I. Generation
Ireland,2004,female,55-74 years,92,1132408,11.09,Turkmenistan2004,,"6,838,351,088",48504,Silent
Saint Lucia,2005,female,5-14 years,0,278,0.0,Spain1991,,"575,598,537,070",8162,Generation Z
Finland,1990,male,5-14 years,0,382530,1.05,Finland2012,,"256,706,466,091",4774,Millenials
Spain,2011,female,55-74 years,15,1153254,0.0,Serbia1998,0.869,"18,284,194,680",25081,Silent
Bulgaria,1997,female,25-34 years,302,1131045,4.73,Bulgaria2009,,"51,884,481,410",1840,Generation X
Israel,1985,male,5-14 years,0,278,0.3,Paraguay1990,,"5,695,201,563",87356,Generation X
Uruguay,2004,female,5-14 years,4,504543,3.21,Jamaica1990,,"4,592,224,067",3008,Millenials
Romania,1993,female,15-24 years,3,3717512,2.98,Romania1991,0.668,"28,998,684,211",855,Silent
Singapore,1986,female,15-24 years,13,8332189,8.03,Seychelles2015,,"1,375,604,279",6297,Millenials
Paraguay,2000,female,25-34 years,36,238028,0.81,Denmark2003,,"218,095,997,085",1377,Generation X
New Zealand,2012,male,25-34 years,50,551976,10.13,Nicaragua2011,,"161,354,369,893",14187,Boomers
Iceland,1991,female,35-54 years,11,35894,0.38,Belgium2008,,"518,625,897,173",22230,Boomers
Ecuador,1996,female,75+ years,11,190418,0.0,Ecuador2011,,"79,276,664,000",5526,Boomers
Canada,2012,male,55-74 years,775,973705,37.53,Finland2013,0.833,"269,980,111,643",29734,Boomers
Cuba,1996,female,75+ years,1000,1108769,40.4,Cuba2012,,"73,141,000,000",23477,Silent
Ireland,1994,female,35-54 years,0,858591,11.22,Cyprus2004,,"17,422,375,000",52624,Boomers
Mexico,1985,female,55-74 years,236,813729,10.07,Mexico1998,,"526,502,129,378",5698,Boomers
Russian Federation,1997,male,75+ years,7173,109750,55.33,Portugal1996,,"122,629,812,841",1869,Silent
Italy,2001,female,75+ years,0,167595,0.08,Jamaica1985,0.832,"2,100,223,150",12724,Silent
Romania,1998,male,75+ years,0,87587,0.14,Portugal2014,,"229,629,822,122",7582,Boomers
France,2003,female,55-74 years,78,3818687,5.69,Iceland2003,,"11,316,441,660",8800,Silent
Guatemala,1987,female,75+ years,0,1093793,3.82,Slovenia2000,,"20,342,201,356",2509,Silent
Costa Rica,2005,female,75+ years,6,7499,1.93,Aruba2004,,"2,228,279,330",3194,Silent
Costa Rica,1998,male,55-74 years,28,278,28.56,El Salvador1999,,"11,284,197,000",23667,G.I. Generation
Brazil,1986,male,25-34 years,70,664634,25.21,Malta2005,,"6,394,851,387",5128,Generation X
Singapore,2005,female,5-14 years,8,197256,0.26,Malta2015,,"10,574,026,838",6056,Silent
Qatar,1995,male,15-24 years,13,17431,0.0,Republic of Korea1995,,"556,130,926,913",54431,Generation X
Trinidad and Tobago,2007,female,75+ years,57,278,12.64,Sweden2002,,"263,926,220,333",3772,Silent
Chile,1992,male,25-34 years,187,667184,67.21,Colombia1990,,"40,274,204,595",3399,Boomers
Guatemala,1997,female,55-74 years,64,1398488,8.06,Guyana2011,,"2,576,024,116",28174,Silent
New Zealand,1986,female,35-54 years,8,278,4.16,Sweden1996,0.625,"288,103,936,773",22595,G.I. Generation
Saint Vincent and Grenadines,2010,male,5-14 years,0,278,0.0,Antigua and Barbuda1989,,"438,794,778",6421,Generation Z
Mauritius,2005,female,5-14 years,0,35940,0.27,Mexico2002,,"772,106,378,935",7323,Generation Z
France,2012,female,55-74 years,258,1214569,5.16,Costa Rica2008,,"30,612,932,876",31823,Boomers
Georgia,1997,male,5-14 years,10,1439072,3.28,Germany2009,,"3,418,005,001,389",3270,Generation X
Puerto Rico,2000,female,25-34 years,1513,2526580,3.52,Romania2011,,"184,367,381,749",15063,Generation X
Grenada,1988,male,5-14 years,2,51426,0.16,Belize2014,,"1,703,951,050",6635,Generation X
Iceland,1987,male,15-24 years,0,357307,9.61,Ireland1993,,"52,480,253,169",31663,Generation X
Netherlands,2000,male,15-24 years,87,1456296,6.69,Canada1994,,"578,139,279,438",51557,Millenials
Luxembourg,2008,female,35-54 years,0,15654,8.18,Mauritius1989,0.902,"2,191,096,860",22863,Boomers
Bahrain,2005,female,5-14 years,8,75372,3.65,United States1985,,"4,346,734,000,000",26566,Millenials
South Africa,2000,male,25-34 years,619,1552593,14.84,Norway1988,0.662,"101,900,260,856",49401,Boomers
Belarus,1992,male,25-34 years,7,278,14.99,Luxembourg2011,0.65,"60,004,630,234",4875,Generation X
Switzerland,2011,male,75+ years,5,1228584,22.09,Antigua and Barbuda1988,0.824,"398,637,741",28567,Silent
Kuwait,2013,female,15-24 years,2,227495,1.81,Thailand1996,0.857,"183,035,154,107",25992,Millenials
Russian Federation,2001,male,25-34 years,103,176031,16.09,Romania2005,,"99,697,566,668",8475,Boomers
Antigua and Barbuda,2000,female,55-74 years,3,62581,0.34,Barbados2008,,"4,607,300,000",21355,Silent
Cyprus,2011,female,75+ years,5,278,50.26,Denmark1995,,"185,006,961,302",7062,Silent
Republic of Korea,2002,male,25-34 years,906,3452013,38.62,Kazakhstan2007,,"104,849,886,826",19387,Boomers
Armenia,2007,male,25-34 years,64,395431,4.62,Denmark2005,,"264,467,308,109",5725,Generation X
Republic of Korea,2012,female,75+ years,61,1714463,4.72,Romania1992,0.762,"25,121,666,667",7268,Silent
Republic of Korea,1988,female,55-74 years,5,1570255,4.06,El Salvador2012,,"1,382,764,027,114",7434,Silent
